Número de Clusters,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score
3,0.6248882573452467,0.5053526022735587,123665.85610561189
4,0.6369797224897756,0.452814328555425,135763.00649306164
5,0.6350907488240818,0.528386871069195,135182.81220128026
6,0.6296635868253833,0.5442499851275091,146605.53044328693
7,0.572534378721358,0.571180409804387,167401.86658176055
8,0.5444868838628554,0.562485085302086,191691.16081797826
9,0.557694154207542,0.532900719719058,201255.60664327958
10,0.5359251949180027,0.5760560109639107,210085.8946467621
