Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-02-04 17:05:00+00:00,99290.609375,99304.5078125,99129.640625,99129.640625,0
2025-02-04 17:10:00+00:00,99364.6171875,99364.6171875,99204.8046875,99204.8046875,20291584
2025-02-04 17:15:00+00:00,99420.0,99568.6328125,99420.0,99527.4140625,725016576
2025-02-04 17:20:00+00:00,99117.453125,99336.40625,99117.453125,99336.40625,0
2025-02-04 17:25:00+00:00,98939.8203125,99049.3125,98939.8203125,99049.3125,308142080
2025-02-04 17:30:00+00:00,99157.734375,99157.734375,98921.6953125,98921.6953125,0
2025-02-04 17:35:00+00:00,99228.71875,99228.71875,99119.4140625,99119.4140625,1914109952
2025-02-04 17:40:00+00:00,99268.2578125,99268.2578125,99142.1484375,99174.015625,0
2025-02-04 17:45:00+00:00,99256.2421875,99294.9921875,99176.0,99294.9921875,0
2025-02-04 17:50:00+00:00,99090.703125,99187.9296875,99084.75,99187.9296875,0
2025-02-04 17:55:00+00:00,99237.453125,99237.453125,99182.015625,99182.015625,0
2025-02-04 18:00:00+00:00,99115.25,99182.6953125,99115.25,99182.6953125,0
2025-02-04 18:05:00+00:00,98934.2265625,99038.625,98934.2265625,99012.4921875,0
2025-02-04 18:10:00+00:00,99058.765625,99058.765625,98856.34375,98856.34375,311050240
2025-02-04 18:15:00+00:00,99117.375,99151.6875,99063.40625,99063.40625,0
2025-02-04 18:20:00+00:00,99242.421875,99242.421875,99214.875,99214.875,0
2025-02-04 18:25:00+00:00,99099.6171875,99194.1953125,99086.0390625,99194.1953125,0
2025-02-04 18:30:00+00:00,99185.3203125,99185.3203125,99047.2109375,99082.4375,0
2025-02-04 18:35:00+00:00,99419.9921875,99419.9921875,99321.015625,99321.015625,0
2025-02-04 18:40:00+00:00,99482.484375,99601.515625,99482.484375,99601.515625,0
2025-02-04 18:45:00+00:00,99449.9453125,99467.8671875,99416.8125,99416.8125,642695168
2025-02-04 18:50:00+00:00,99367.5390625,99462.4453125,99367.5390625,99462.4453125,0
2025-02-04 18:55:00+00:00,99453.8203125,99453.8203125,99363.6640625,99363.6640625,349003776
2025-02-04 19:00:00+00:00,99486.453125,99486.453125,99411.9296875,99461.734375,0
2025-02-04 19:05:00+00:00,99637.015625,99705.703125,99613.765625,99613.765625,0
2025-02-04 19:10:00+00:00,99954.6171875,99954.6171875,99732.9375,99732.9375,0
2025-02-04 19:15:00+00:00,100360.90625,100360.90625,99984.84375,99984.84375,314449920
