Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-02-03 15:20:00+00:00,97823.46875,97823.46875,97177.2890625,97177.2890625,0
2025-02-03 15:25:00+00:00,98147.90625,98585.2265625,98066.6640625,98066.6640625,1486381056
2025-02-03 15:30:00+00:00,98248.875,98484.96875,98107.5,98484.96875,540213248
2025-02-03 15:35:00+00:00,98123.8359375,98433.296875,98123.8359375,98430.5390625,574373888
2025-02-03 15:40:00+00:00,98987.5625,98987.5625,98158.4296875,98158.4296875,608739328
2025-02-03 15:45:00+00:00,99276.6484375,99276.6484375,99069.078125,99069.078125,630267904
2025-02-03 15:50:00+00:00,99178.328125,99510.4453125,99178.328125,99268.328125,1271570432
2025-02-03 15:55:00+00:00,99271.7109375,99302.578125,99089.3828125,99089.3828125,501530624
2025-02-03 16:00:00+00:00,98857.171875,99131.7890625,98857.171875,99054.5859375,162512896
2025-02-03 16:05:00+00:00,98476.6640625,98893.0390625,98455.2265625,98893.0390625,273063936
2025-02-03 16:10:00+00:00,98559.1015625,98559.1015625,98368.984375,98498.9453125,288464896
2025-02-03 16:15:00+00:00,98652.921875,98652.921875,98441.8125,98640.4921875,271204352
2025-02-03 16:20:00+00:00,98835.9765625,98835.9765625,98776.84375,98776.84375,358383616
2025-02-03 16:25:00+00:00,98948.8515625,99135.8359375,98936.6171875,99009.9453125,431218688
2025-02-03 16:30:00+00:00,98943.6328125,98943.6328125,98677.0859375,98850.703125,104267776
2025-02-03 16:35:00+00:00,98877.90625,99141.671875,98877.90625,99040.4140625,199245824
2025-02-03 16:40:00+00:00,98876.1875,99065.5625,98876.1875,98954.546875,0
2025-02-03 16:45:00+00:00,98846.4765625,98867.9453125,98846.4765625,98867.9453125,56877056
2025-02-03 16:50:00+00:00,99015.0546875,99071.09375,98755.6953125,98755.6953125,24379392
2025-02-03 16:55:00+00:00,98696.1796875,98920.7421875,98696.1796875,98920.7421875,0
2025-02-03 17:00:00+00:00,98200.7421875,98674.890625,98200.7421875,98674.890625,0
2025-02-03 17:05:00+00:00,98485.953125,98485.953125,98359.015625,98465.1875,0
2025-02-03 17:10:00+00:00,98609.4921875,98634.53125,98509.875,98634.53125,19578880
2025-02-03 17:15:00+00:00,98671.921875,98671.921875,98529.40625,98529.40625,0
2025-02-03 17:20:00+00:00,98869.7890625,98869.7890625,98767.7578125,98767.7578125,0
2025-02-03 17:25:00+00:00,98683.6875,98962.78125,98683.6875,98962.78125,83042304
